River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00
PM","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,0.90,0.80,Normal,,-,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,3.40,3.47,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.13,12.07,Normal,,0.6,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.55,2.55,Normal,,38.0,
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,0.62,0.60,Normal,,1.4,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.46,1.44,Normal,,,8.4
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.00,0.99,Normal,,,15.4
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.05,1.00,Normal,,1.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.00,5.98,Normal,,,11.1
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.45,2.40,Normal,,,15.9
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.41,1.40,Normal,,3.7,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.88,2.88,Normal,,1.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.14,1.11,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.50,1.50,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.27,0.26,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.40,2.39,Normal,,2.7,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.44,0.44,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.14,0.14,Normal,,,7.2
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.64,0.64,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.01,0.01,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.96,0.95,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.94,0.94,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.22,-0.22,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.57,0.57,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.09,-0.09,Normal,,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.65,4.56,Normal,,,9.6
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.50,2.50,Normal,,,13.5
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.16,0.14,Normal,,1.8,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.62,1.63,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.03,-0.04,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.22,2.22,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.15,1.15,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.70,0.70,Normal,,0.0,
