"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :20th October 2023 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",1,"රත්නපුර
uj;jpdGhp
Rathnapura",Rathnapura,"Tree Fallen/Cutting
Failure Risk/Heavy
Rain/Flood","2023.09.27 to
2023.10.19 ****",92,362,,,,,36,,,,,,
,,,Ayagama,,,23,72,,1,,,9,,,,,,
,,,Kolonna,,,17,61,,1,,,9,,,1,9,35,
,,,Godakawela,,,22,97,,,,1,18,,,,,,
,,,Nivithigala,,,37,131,,,,,37,,,,,,
,,,Kahawatta,,,20,76,,,,,14,,,,,,
,,,Eheliyagoda,,,6,25,,,,,6,,,,,,
,,,Elapatha,,,86,316,,,,,13,,,,,,
,,,Kuruvita,,,41,162,,,,,13,,,,,,
,,,Kalawana,,,14,47,,,,,8,,,,,,
,,,Pelmadulla,,,15,61,,,,1,14,,,,,,
,,,Opanayake,,,57,193,,,,,38,,,,,,
,,,Kiriella,,,27,102,,,,1,6,,,,,,
,,,Weligepola,,,5,23,,1,,,3,,,,,,
,,,Balangoda,,,14,57,,,,,14,,,,,,
,,,Embilipitiya,,,1,3,,,,,1,,,,,,
,,,Imbulpe,,,8,36,,,,,8,,,,,,
,,,Kalthota,,,1,1,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,486,1825,0,3,0,3,248,0,0,1,9,35,
,,"කෑගල්ල
Nffhiy
Kegalle",Aranayaka,Cutting Faliure,2023.10.18,1,6,,,,,1,,,,,,
,,,Rambukkana,Heavy Rain,2023.10.17,1,4,,,,,1,,,,,,
,,,Yatiyanthota,Lightning,2023.10.12,3,12,,,,,3,,,,,,
,,,,Tree Fallen,2023.10.18,1,5,,,,,1,,,,,,
,2,,Kegalle,Wall Breaking,2023.10.16-17,2,5,,,,,2,,,,,,
,,,Ruwanwella,Tree Fallen,2023.10.18,1,2,,,,,1,,,,,,
,,,Galigamuwa,Lightning,2023.10.18,2,7,,,,,2,,,,,,
,,,,Tree Fallen,,1,3,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,12,44,0,0,0,0,12,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,498,1869,0,3,0,3,260,0,0,1,9,35,
,,,Haldumulla,Land Slide Risk,2023.10.14,241,914,,,,,,,,3,121,435,
,,,,Cutting Faliure,2023.10.12,1,7,,,,,1,,,,,,
,,,,Heavy Rain,2023.10.13-14,5,13,,,,,1,1,,,,,
,,,,Drowning,2023.10.13,1,1,1,,,,,,,,,,
,,,Badulla,Heavy Rain,2023.10.10-14,4,12,,,,,3,,,,,,
,,,,Flood,2023.10.13,15,63,,,,,,,,,,,
,,,,Cutting Faliure,2023.10.13-14,2,7,,,,,2,,,,,,
,,,,Heay Rain/ Wind,2023.10.14,1,2,,,,,1,,,,,,
,,,Welimada,Heay Rain/ Wind,2023.10.11,1,4,,,,,1,,,,,,
,,,,Cutting Faliure,2023.10.13-14,4,22,,,,,4,,,,,,
