River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.90,3.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.98,4.92,Normal,,0.6,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.19,11.18,Normal,,3.5,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.90,Normal,,0.5,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.91,0.90,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.19,1.17,Normal,,0.5,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.83,0.83,Normal,,0.0,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.22,5.20,Major Flood,Falling,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,10.90,10.85,Minor Flood,Falling,0.0,,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.13,5.13,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.47,3.43,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,9.26,9.21,Major Flood,Falling,0.0,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.17,5.14,Major Flood,Falling,0.0,,,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.56,2.55,Normal,,2.,,7,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,2.47,2.45,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.95,5.94,Alert,Falling,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.73,1.72,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.00,0.99,Normal,,4.6,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.10,1.11,Normal,,,1.9,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.40,0.40,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.59,0.59,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.30,1.29,Normal,,,1.5,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.19,-0.19,Normal,,0.6,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.77,0.77,Normal,,0.0,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.38,0.38,Normal,,0.2,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.32,0.32,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.08,0.09,Normal,,0.0,,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.71,-2.78,Normal,,0.0,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.81,2.68,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.37,1.37,Normal,,0.0,,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.33,0.33,Normal,,0.0,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.51,1.51,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.49,0.49,Normal,,0.0,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.10,1.10,Normal,,0.0,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.96,0.94,Normal,,0.0,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.95,2.93,Normal,,0.0,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.58,1.57,Normal,,0.0,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,3.22,3.18,Normal,,0.0,,,
