பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 5 - 1 2 - 1 8,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,28,24,95,75,அவ்வப்ப ோது மழை ப ய்யும்
மட்டக்களப்பு,29,24,95,75,அவ்வப்ப ோது மழை ப ய்யும்
வகாழும்பு,30,25,95,65,பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
காலி,31,25,85,70,பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
யாழ்ப்பாணம்,30,24,95,85,அடிக்கடி மழை ப ய்யும்
கண்டி,30,21,90,65,அவ்வப்ப ோது மழை ப ய்யும்
நுவவரலியா,19,14,95,85,அவ்வப்ப ோது மழை ப ய்யும்
இரத்தினபுரி,33,23,95,65,பி. . 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை ப ய்யும்
திருககாணமலை,28,23,95,85,அவ்வப்ப ோது மழை ப ய்யும்
மன்னார்,30,23,95,80,அவ்வப்ப ோது மழை ப ய்யும்
