River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
Noon",Remarks,"Water
Level
Rising or
Falling","3 Hr RF in
mm at
12.00 Noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.00,1.40,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.42,0.40,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.25,8.23,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.45,1.47,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.27,0.27,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.09,0.07,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.42,0.41,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.24,0.39,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,3.84,3.84,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,0.50,0.48,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,0.75,0.75,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.49,1.48,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.14,1.08,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,0.99,1.00,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.19,0.18,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,1.95,1.95,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.21,0.21,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.03,0.03,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.89,0.88,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.58,0.58,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.93,0.93,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.17,1.17,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.08,-0.08,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.88,0.88,Normal,,4.3,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.57,0.59,Normal,,4.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,2.05,2.02,Normal,,5.6,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.70,1.83,Normal,,30.5,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.56,-1.60,Normal,,,10.1
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.15,1.18,Normal,,1.3,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.61,0.61,Normal,,0.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.64,0.63,Normal,,4.9,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.32,1.31,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.64,0.64,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.27,1.26,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.06,0.06,Normal,,3.2,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.12,0.11,Normal,,0.3,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,1.79,1.79,Normal,,0.2,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,0.71,0.71,Normal,,3.6,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.07,0.07,Normal,,0.0,
