"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :08th July 2023 at 0600hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",,,Balangoda,High Wind,2023.07.03/04,11,38,,,,,11,,,,,,
,,,Nivithigala,High Wind,2023.07.03/04/05,22,71,,,,,12,,,,,,
,,,Kalwana,High Wind,2023.07.04/05,31,114,,,,,31,,,,,,
,,,,High Wind,2023.07.07,5,21,,,,,5,,,,,,
,,,Rathnapura,High Wind/Cutting Failure,2023.07.04,9,36,,,,,9,,,,,,
,,,Kahawatta,High Wind,2023.07.04/05,14,57,,,,,14,,,,,,
,,,,Kahawatta,2023.07.06,2,9,,,,,2,,,,,,
,,,Kolonna,High Wind,2023.07.04,4,16,,,,,4,,,,,,
,,,,High Wind,2023.07.05,2,9,,,,,2,,,,,,
,,,Weligepola,High Wind,2023.07.04/05,4,13,,,,,4,,,,,,
,,රත්නපුර,Ehaliyagoda,High Wind,2023.07.04/05,9,34,,,,,9,,,,,,
,1,",uj;jpdGhp",Kaltota,High Wind,2023.07.05,1,4,,,,,1,,,,,,
,,Rathnapura,Pelmadulla,High Wind,2023.07.04,18,73,,,,,18,,,,,,
,,,Ayagama,High Wind,2023.07.05,4,18,,,,,4,,,,,,
,,,Kiriella,High Wind,2023.07.04,1,3,,,,,1,,,,,,
,,,,High Wind,2023.07.06,1,5,,,,,1,,,,,,
,,,Opanayake,High Wind,2023.07.04/05,8,30,,,,,8,,,,,,
,,,,High Wind,2023.07.06,1,3,,,,,1,,,,,,
,,,Imbulpe,High Wind,2023.07.04/05,6,25,,,,,6,,,,,,
,,,Elapatha,High Wind,2023.07.05,35,126,,,,,15,,,,,,
,,,Kuruwita,High Wind,2023.07.05,2,7,,,,,2,,,,,,
,,,Godakawela,High Wind,2023.07.04/05,12,46,,,,,12,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,202,758,0,0,0,0,172,0,0,0,0,0,
,2,,Aranayake,High Wind,2023.07.03/04/05,28,112,,,,,25,1,,,,,
,,,,Tree Fallen,2023.07.05,3,7,,,,,3,,,,,,
,,,,Tree Fallen,2023.07.06,1,3,,,,,1,,,,,,
,,,Yatiyantota,High Wind,2023.07.03/04/05,19,75,,,,,19,6,,,,,
,,,Deraniyagala,Cutting Failure,2023.07.02/05,5,15,,,,,5,1,,,,,
,,,Warakapola,High Wind,2023.07.05/04,12,46,,,,,12,,,,,,
,,කෑගල්ල,Mawanella,High Wind,2023.07.02/04,13,55,,,,,13,,,,,,
,,Nffhiy Kegalle,Kegalla,High Wind,2023.07.04,13,49,,,,,13,,,,,,
,,,Dehiowita,High Wind,2023.07.04,10,39,,,,,10,2,,,,,
,,,Bulathkohupitiya,High Wind,2023.07.04,22,86,,,,,21,1,,,,,
,,,Rambukkana,High Wind,2023.07.04,2,5,,,,,2,,,,,,
,,,Galigamuwa,High Wind,2023.07.05/06,10,29,,,,,10,,,,,,
,,,Ruwanwella,High Wind,2023.07.04/05,4,15,,,,,4,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,142,536,0,0,0,0,138,11,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,344,1294,0,0,0,0,310,11,0,0,0,0,
,3,,Gomarankadawala,High Wind,2023.07.04,1,3,,,,,1,,,,,,
,,,Verugal,High Wind,2023.07.04/05/06,24,79,,,,,24,,,,,,
,,,Seruwila,High Wind,2023.07.04/05/06,39,135,,,,,36,,,,,,
,,,,High Wind,2023.07.05-07,1,5,,,,,1,,,,,,
,,ත්‍රීකුණාමලය,Kantale,High Wind,2023.07.04,11,36,,5,,,11,,,,,,
,,jp.kiy,,High Wind,2023.07.05-07,2,9,,,,,2,,,,,,
,,Trincomalee,Town & Gravets,High Wind,2023.07.04/05/06,2,11,,,,,2,,,,,,
,,,Kuchchaweli,High Wind,2023.07.04/05/06,1,5,,,,,1,,,,,,
,,,Muthur,High Wind,2023.07.04,11,40,,,,,10,1,,,,,
,,,,High Wind,2023.07.05-07,5,15,,,,,5,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,97,338,0,5,0,0,93,1,0,0,0,0,
