11,"මන්නාරම
kd;dhH Mannar",Mannar Town,Heavy Rain/Flood,2024.11.23 - 26,14385,50026,,,,,5,,,21,650,2164,
,,Manthai West,,,3563,12167,,,,,,,,3,100,316,
,,Nannatan,,,1314,4208,,,,,1,,,,,,
,,Musali,,,384,1387,,,,,,,,,,,
,,Madhu,,,165,546,,,,,,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,19811,68334,0,0,0,0,6,0,0,24,750,2480,
12,"වව්ියාව
tTdpah Vavuniya",Vavuniya North,Heavy Rain,2024.11.23,253,886,,,,,59,,,,,,
,,Vavuniya,Flood,2024.11.27,990,3365,,,,,47,,,,,,
,,Vengalacheddikulam,High Wind,2024.11.25,256,928,,,,,93,,,,,,
,,vavuniya South,Heavy Rain,2024.11.26,17,45,1,,,,5,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1516,5224,1,0,0,0,204,0,0,0,0,0,
පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,51170,171504,2,1,0,5,494,23,13,54,1464,4934,
13,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,Heavy rain / Flood,2024.11.24 - 26,191,549,,,,,,,,,,,
,,Muthur,,2024.11.25/12.01,1726,5069,,,,,,,,,,,
,,Thampalagamuwa,,2024.11.24 - 26,338,1103,,,,,3,,,,,,
,,Morawewa,,,42,141,,,,,5,,,,,,
,,Town & Gravets,,2024.11.25 - 26,504,1882,,,,1,25,,,,,,
,,Kinniya,,2024.11.25 - 26,914,2316,,,,,,,,,,,
,,Kuchchewali,,2024.11.26,213,590,1,,,,8,,,,,,
,,Kanthale,,2024.11.25 - 26,68,273,,,,,10,,,,,,
,,Verugal,,2024.11.25 - 26,353,1000,,,,,3,,,2,83,220,
,,Padavi Sripura,,2024.11.25 - 26,23,79,,,,,3,,,,,,
,,Gomarankadawala,,2024.11.25 - 26,1,3,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4373,13005,1,0,0,1,58,0,0,2,83,220,
14,"මඩකලපුව
kl;lf;fsg;G
Batticaloa",Manmunai South West,Flood,2024.11.25,2512,7648,,,,,1,,,,,,
,,Kattankudy,,,956,3044,,,,,13,7,,,,,
,,Manmunai North,,,3060,9375,,,,,21,5,,,,,
,,"Eravur Paththu
Chenkallady",,,5372,15113,,,,,37,,8,,,,
,,Koralaipattu South kiran,,,1302,4145,,,,,3,,,,,,
,,"Koralaipattu
Valachchenai",,,560,1688,,,,,,,,,,,
,,Koralaipattu Central,,,443,1468,,,,,8,,,,,,
,,Koralaipattu West,,,560,1925,,,,,,,,,,,
,,Manmunaioattu,,,2165,6751,,,,,,13,,,,,
,,Manmunai West,,,2184,7042,,1,,,14,,1,,,,
,,"Manmunai South
Eruvilpattu",,,2410,9185,,,,,9,,,,,,
,,Eravur Town,,,354,1403,,,,,,,,,,,
,,Karalaipattu North,,,887,2410,,,,,9,2,,,,,
,,Porathivupattu vellaveli,,,796,2335,,,,,14,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,23561,73532,0,1,0,0,129,27,9,0,0,0,
