River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
midnight",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.50,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.70,4.52,Normal,,0.0,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.45,11.20,Normal,,0.0,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.73,Normal,,6.6,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.83,0.80,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.00,0.99,Normal,,,,3.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.64,Normal,,10.2,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.49,1.53,Normal,,,1.6,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.04,6.99,Normal,,,,4.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.47,2.34,Normal,,5.8,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.15,2.05,Normal,,0.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.36,4.38,Normal,,,,3.5,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.40,1.38,Normal,,0.0,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.37,1.34,Normal,,,2.3,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.38,0.35,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.33,2.33,Normal,,,,3.4,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.51,0.51,Normal,,0.0,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.08,0.08,Normal,,0.0,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.79,0.79,Normal,,0.0,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.02,0.02,Normal,,0.0,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.48,0.48,Normal,,0.0,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.91,0.91,Normal,,0.0,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.25,-0.25,Normal,,0.0,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.53,0.53,Normal,,0.0,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.16,0.16,Normal,,0.0,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.13,-0.13,Normal,,0.0,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.30,3.26,Normal,,,,4.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.85,1.82,Normal,,9.0,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.10,0.10,Normal,,0.0,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.20,1.20,Normal,,0.0,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.42,0.42,Normal,,0.0,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-0.04,-0.03,Normal,,0.0,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.22,3.11,Normal,,0.0,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.66,1.58,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.36,1.26,Normal,,0.0,,,,
