பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 2 8,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,35,24,95,45,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,33,25,90,65,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,27,85,60,பிரதானமாக சீரான வானிலை
காலி,32,27,90,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,34,23,95,60,சிறிதளவில் மலை வபய்யும்
கண்டி,34,21,95,45,பிரதானமாக சீரான வானிலை
நுவவரலியா,24,10,80,40,பிரதானமாக சீரான வானிலை
இரத்தினபுரி,36,24,95,45,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
திருககாணமலை,35,24,95,60,பிரதானமாக சீரான வானிலை
மன்னார்,33,25,95,60,பிரதானமாக சீரான வானிலை
