பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 9 - 0 8,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,36,26,90,45,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,34,26,90,70,பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
வகாழும்பு,32,27,90,70,சிறிதளவில் மலை வபய்யும்
காலி,30,26,90,75,சிறிதளவில் மலை வபய்யும்
யாழ்ப்பாணம்,34,28,80,65,பிரதானமாக சீரான வானிலை
கண்டி,31,22,95,55,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
நுவவரலியா,21,13,90,60,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
இரத்தினபுரி,33,25,95,60,அடிக்கடி மலை வபய்யும்
திருககாணமலை,36,26,90,50,பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
மன்னார்,32,28,90,80,சிறிதளவில் மலை வபய்யும்
