River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6:00 am",Remarks,"Water
Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.50,2.00,Normal,,-,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.80,1.84,Normal,,0.2,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.18,10.14,Normal,,9.1,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.61,1.69,Normal,,13.4,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.69,0.67,Normal,,0.0,,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.77,0.73,Normal,,2.6,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.02,1.01,Normal,,4.7,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.08,1.03,Normal,,3.6,,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.45,5.48,Normal,,2.0,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.06,2.04,Normal,,0.7,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.72,4.75,Alert,Rising,55.0,,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.30,4.40,Normal,,18.6,,,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.56,2.62,Normal,,17.6,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,3.22,2.93,Normal,,60.8,,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.71,0.73,Normal,,0.0,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.28,3.46,Normal,,0.0,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.71,1.63,Normal,,2.3,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.18,1.09,Normal,,6.3,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.99,1.95,Normal,,67.2,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.16,1.14,Normal,,5.5,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.16,1.16,Normal,,2.5,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.53,1.52,Normal,,2.3,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.13,0.16,Normal,,10.5,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.88,0.88,Normal,,0.7,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.75,0.72,Normal,,2,7.8,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.55,0.50,Normal,,36,,.6,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.78,0.80,Normal,,2,7.4,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.90,-1.90,Normal,,1.0,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.20,3.26,Normal,,1.5,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.22,1.20,Normal,,6.1,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.49,0.47,Normal,,0.8,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.26,2.24,Normal,,18.4,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.70,0.69,Normal,,7.6,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.65,1.65,Normal,,3.9,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.71,0.70,Normal,,5.4,,,,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,2.84,2.88,Normal,,4.5,,,,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,1.73,1.69,Normal,,0.0,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.63,1.60,Normal,,8.2,,,,
