River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 am","Water
Level at
6.00 am",Remarks,"Water Level
Rising or
Falling","21 Hr RF
in mm at
6.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.20,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.94,4.86,Normal,,0.3,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.85,11.80,Normal,,,9.5
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.02,2.00,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.20,1.20,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.85,0.85,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.28,1.28,Normal,,2.6,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.65,2.64,Normal,,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.66,8.66,Normal,,0.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.60,4.53,Normal,,0.4,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.70,3.62,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.25,6.21,Alert,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.51,3.49,Normal,,30.0,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.07,2.04,Normal,,1.3,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.69,1.70,Minor Flood,Rising,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.88,5.80,Alert,Falling,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.60,1.59,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.16,1.16,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,3.50,3.52,Minor Flood,Rising,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,3.76,3.76,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,3.64,3.51,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.92,3.89,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.78,2.74,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.13,5.13,Minor Flood,,0.0,
