River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 pm","Water
Level at
12:00
Midnight",Remarks,"Water
Level
Rising or
Falling","15 Hr RF
in mm at
12:00
Midnight",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.20,1.20,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.33,1.23,Normal,,0.0,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.10,9.18,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,0.63,0.63,Normal,,,8.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.52,0.51,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.47,0.46,Normal,,29.7,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.65,0.65,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.80,0.81,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,7.47,7.30,Normal,,0.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.12,1.98,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.87,1.80,Normal,,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.97,4.96,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.37,2.32,Normal,,0.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.76,1.74,Normal,,0.0,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.93,0.91,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.38,3.34,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.78,0.75,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.30,0.28,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.98,0.98,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.37,1.39,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.20,Normal,,,7.5
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.48,1.54,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.09,-0.08,Normal,,4.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.21,1.21,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.73,0.73,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.21,1.20,Normal,,,7.7
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,2.97,2.88,Normal,,1.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,-,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.35,2.60,Normal,,3.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.91,0.87,Normal,,,7.5
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.72,0.72,Normal,,0.5,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.19,2.19,Normal,,1.8,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.70,0.70,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,-,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,-,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.06,0.05,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.52,2.48,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.21,1.20,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.85,0.79,Normal,,0.0,
