"Locations for Potential Risk
නායයෑපම් අවදානම ෙැවතිය හැකි ප්‍රපේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Badulla,"Bandarawela and
↓ Ella
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","↓ Passara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,"↓ Ganga Ihala Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Yatiyanthota,
Dehiowita,
Ruwanwella and
Deraniyagala
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kurunegala,"Rideegama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Matara,"Kotapola
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Monaragala,"Medagama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Badalkumbura
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Nuwara Eliya,"Ambagamuwa and
Nuwara Eliya
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Elapatha,
Kuruwita,
Nivithigala,",,
