,3,"කළුතර
fSj;Jiw
Kalutara",Horana,"High Wind & Heavy
Rain",2021.07.10,1,4,,,,,1,,,,,,
,,,Milleniya,,,16,73,,,,,16,,,,,,
,,,Agalawattha,,,9,36,,,,,7,,,,,,
,,,Dodangoda,,,12,47,,,,,12,,,,,,
,,,Bandaragama,,,20,77,,,,,20,,,,,,
,,,Kalutara,,,16,72,,,,,16,,,,,,
,,,Ingiriya,,,2,9,,,,,2,,,,,,
,,,Bulathsinhala,,,9,35,,,,,9,,,,,,
,,,Beruwela,,,19,73,,,,,17,,,,,,
,,,Palindanuwara,,,1,5,,,,,1,,,,,,
,,,Mathugama,,,10,15,,,,,8,,,,,,
,,,Walallavita,,,6,22,,,,,6,,,,,,
,,,Panadura,,,11,41,,,,,7,,,,,,
,,,Madurawela,,,1,4,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,133,513,0,0,0,0,123,0,0,0,0,0,
"Western
Nky;
khfhzk;
බස්ත්‍රනාහිර පලාත",4,"කකාළඹ nfhOk;G
Colombo",Moratuwa,High Wind,2021.07.10,2,10,,,,,2,,,,,,
,,,Kolonnawa,,,30,120,,,,,30,,,,,,
,,,Seethawaka,,,4,15,,,,,4,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,36,145,0,0,0,0,36,0,0,0,0,0,
,,"ගම්පහ/fk;g`h/Ga
mpaha",Biyagama,"High Wind and Heavy
Rain",2021.07.10,12,60,,,,,12,,,,,,
,,,Mirigama,,,3,10,,,,,3,,,,,,
,,,Dompe,,,6,24,,,,,6,,,,,,
,,,Minuwangoda,,,27,101,,,,,25,,,,,,
,,,Wattala,,,62,205,,,,,62,,,,,,
,,,Attanagalla,,,13,60,,,,,13,,,,,,
,,,Gampaha,,,21,84,,,,,21,,,,,,
,,,Mahara,,,5,22,,,,,5,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,149,566,0,0,0,0,147,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,318,1224,0,0,0,0,306,0,0,0,0,0,
,5,"රත්නපුර
,uj;jpdGhp
Rathnapura",Kiriella,High Wind,2021.07.10,219,561,,,,,17,,,,,,
,,,Kalawana,Flood,,29,93,,,,,29,,,,,,
,,,Elapatha,Flood,,303,1129,,,,,18,,,,,,
,,,Ayagama,Heavy Rain,,20,81,,,,,8,,,,,,
,,,Kahawaththa,High Wind,,4,18,,,,,4,,,,,,
,,,Rathnpura,Flood,,1900,7792,,,,1,23,,,7,59,265,
,,,Pelmadulla,Flood,,25,89,,,,,25,,,,,,
,,,Nivithigala,High Wind,,19,71,,,,,7,,,,,,
,,,Kuruvita,,,162,608,,,,,35,,,,,,
,,,Eheliyagoda,,,19,69,,,,,19,,,,,,
,,,Godakawala,,,7,29,,,,,7,,,,,,
,,,Kolonna,,,5,16,,1,,1,4,,,,,,
,,,Imbulpe,,,7,27,,,,,7,,,,,,
,,,Kalthota,,,2,5,,,,,2,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2721,10588,0,1,0,2,205,0,0,7,59,265,
