River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.10,2.08,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.08,10.01,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.90,1.88,Normal,,0.0,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.72,0.71,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.70,0.70,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.89,0.88,Normal,,,5.5,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.75,0.77,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.70,5.74,Normal,,0.0,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.20,3.07,Normal,,,6.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.14,2.10,Normal,,0.0,,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.08,3.04,Normal,,0.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.22,2.22,Normal,,,5.1,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.80,1.78,Normal,,24.4,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.72,0.76,Normal,,,3.5,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.23,3.22,Normal,,14.,,3
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.97,0.97,Normal,,,2.6,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.57,0.57,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.01,-,,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.21,1.21,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.03,1.03,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.49,1.49,Normal,,0.0,,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.31,0.32,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.15,1.15,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.75,0.75,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.79,0.79,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-,-,,,-,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,-,,
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,-,-,,,-,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.20,1.20,Normal,,0.0,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,-,-,,,-,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.56,1.56,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.78,0.78,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,3.77,3.72,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,-,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-,-,,,-,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.64,2.64,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.48,1.48,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.48,1.46,Normal,,0.0,,
