பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 6 - 2 7,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,26,95,60,சிறிதளவில் மலை வபய்யும்
மட்டக்களப்பு,34,26,80,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
வகாழும்பு,31,26,85,75,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
காலி,30,26,90,80,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
யாழ்ப்பாணம்,33,27,85,60,பிரதானமாக சீரான வானிலை
கண்டி,29,23,90,70,அடிக்கடி மலை வபய்யும்
நுவவரலியா,21,15,95,70,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
இரத்தினபுரி,30,25,95,75,அவ்வப்பபாது மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
திருபகாணமலை,35,26,80,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை வபய்யும்
சாத்தியம்"
மன்னார்,31,28,90,80,சிறிதளவில் மலை வபய்யும்
