River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.60,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.29,1.28,Normal,,1.5,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.38,9.85,Normal,,28.7,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.56,1.56,Normal,,25.2,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.86,0.81,Normal,,9.2,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.78,0.75,Normal,,4.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.77,0.77,Normal,,4.3,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.47,0.47,Normal,,0.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.60,4.68,Normal,,6.6,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.88,1.90,Normal,,23.5,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.50,1.56,Normal,,21.1,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.40,2.38,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.00,1.00,Normal,,28.0,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.30,1.33,Normal,,4.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.33,0.33,Normal,,1.2,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.30,2.31,Normal,,6.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.55,0.57,Normal,,3.7,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.50,0.47,Normal,,38.4,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.23,1.23,Normal,,38.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,5.90,5.80,Major Flood,Falling,15.1,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.70,1.66,Normal,,41.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,6.30,5.93,Normal,,33.3,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,1.52,1.56,Normal,,7.8,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.02,1.02,Normal,,3.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,5.2,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.30,0.30,Normal,,0.2,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,1.33,1.33,Normal,,7.1,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,7.7,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.08,1.99,Normal,,43.8,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.55,1.40,Normal,,28.1,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.70,0.65,Normal,,0.2,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,2.03,2.07,Normal,,19.8,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.66,0.66,Normal,,34.9,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,2.5,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,70.9,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.31,1.29,Normal,,56.8,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.38,2.37,Normal,,40.6,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.29,1.29,Normal,,1.7,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.05,2.02,Normal,,11.5,
