River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 PM","Water
Level at
9:00 PM",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9:00 PM",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.00,2.00,Normal,,-,,
,Kelani Ganga,Hanwella,m,6.50,7.50,9.50,4.53,4.51,Normal,,31.,,7
,Kelani Ganga,Glencourse,m,15.00,15.50,19.00,12.40,12.48,Normal,,,22.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,2.15,2.19,Normal,,40.,,0
,Gurugoda Oya,Holombuwa,m,3.00,4.00,6.00,1.44,1.42,Normal,,14.6,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,7.00,1.84,1.87,Normal,,61.6,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.90,0.90,Normal,,2.9,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.96,2.96,Normal,,0.3,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.65,8.60,Normal,,5.5,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,4.10,4.05,Normal,,10.3,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.61,4.58,Alert,Falling,6.4,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.16,7.15,Minor Flood,Falling,0.3,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.10,4.09,Minor Flood,Falling,1.4,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.73,2.71,Normal,,0.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.53,1.53,Alert,,,22.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.73,4.74,Normal,,1.5,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.21,1.20,Normal,,7.4,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.90,0.93,Normal,,9.5,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.86,0.90,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.13,1.13,Normal,,1.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.90,0.89,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.03,1.03,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.27,-0.27,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.55,0.55,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.14,0.15,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.08,0.07,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.15,-0.15,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.42,3.48,Normal,,9.1,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.50,2.39,Normal,,36.,,2
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.19,0.19,Normal,,0.3,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.68,1.68,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.41,0.41,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,1.8,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.38,0.38,Normal,,2.3,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.97,2.98,Normal,,0.2,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.96,1.94,Normal,,1.3,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.70,2.70,Normal,,7.2,,
