பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 5 - 0 8,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,32,25,95,55,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
மட்டக்களப்பு,33,27,90,65,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
வகாழும்பு,33,26,95,70,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
காலி,31,26,90,70,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
யாழ்ப்பாணம்,33,25,95,50,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
கண்டி,30,23,95,65,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
நுவவரலியா,22,14,95,65,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
இரத்தினபுரி,34,25,95,65,பி.ப. 2.00 மணிக்குப் பின்னர் மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
திருககாணமலை,33,26,90,60,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
மன்னார்,32,27,90,65,மழை அல்லது இடியுடன் கூடிய மழை பபய்யும்
