පළාත,දිස්ත්‍රික්කය,ජනවාරි 09,,,ජනවාරි 10,,,ජනවාරි 11,,
උතුර,මුලතිේ,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි,
ඇතැම් ස්ථාන වලට
මි.මි. 100 ට වැඩි තද
වැසි",,,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,
,,,,,,"ගිගුරුම් සහිත වැසි,",,,,
,,,,,,ඇතැම් ස්ථාන වලට,,,,
,,,,,,මි.මි. (50-75) ක,,,,
,,,,,,පමණ තරමක තද,,,,
,,,,,,වැසි,,,,
,යාපනය,,විටින් විට වැසි වහෝ,,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,,
,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,,,,
,,,මි.මි. 100 ට වැඩි තද,,,මි.මි. 100 ට වැඩි තද,,,,
,,,වැසි,,,වැසි,,,,
,වවුනියා,,විටින් විට වැසි වහෝ,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි",,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. 100 ට වැඩි තද,,,,,,,
,,,වැසි,,,,,,,
,මන්නාරම,,විටින් විට වැසි වහෝ,,"විටින් විට වැසි වහෝ
ගිගුරුම් සහිත වැසි",,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. 100 ට වැඩි තද,,,,,,,
,,,වැසි,,,,,,,
,කිලිවනාච්චි,,විටින් විට වැසි වහෝ,,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,"ගිගුරුම් සහිත වැසි,",,,,
,,,ඇතැම් ස්ථාන වලට,,,ඇතැම් ස්ථාන වලට,,,,
,,,මි.මි. 100 ට වැඩි තද,,,මි.මි. (75-100) දක්වා,,,,
,,,වැසි,,,තරමක තද වැසි,,,,
උතුරු-මැද,අනුරාධ්‍පුර,,විටින් විට වැසි වහෝ,,වැසි වාර කීපයක්.,වැසි වාර කීපයක්.,,වැසි වාර කීපයක්.,,
,,,"ගිගුරුම් සහිත වැසි,",,,,,,,
,,,ඇතැම් ස්ථාන වලට,,,,,,,
,,,මි.මි. (50-75) ට වැඩි,,,,,,,
,,,තද වැසි,,,,,,,
,වපාවලාන්නරුව,,විටින් විට වැසි.,,,වැසි වාර කීපයක්.,,,වැසි වාර කීපයක්.,
