10,"නකාළඹ
nfhOk;G
Colombo",Moratuwa,High Wind,2021.05.26,25,96,,,,1,24,3,,,,,
,,,Coastal Erosion,2021.05.19-26,1,5,,,,,1,,,,,,
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,26,101,0,0,0,1,25,3,0,0,0,0,
පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1487,6105,0,0,0,3,241,10,0,1,5,20,
11,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Landslide Risk,2021:05:24,9,36,,,,,,,,1,9,36,Sri Rathnagiri Temple
,,,Fire at Line Houses,2021:05:23,9,43,,,,,8,,,4,9,43,"1.Summerset Tamil
School
2. Day Care Center
3. Pre School
4. Temporary Houses"
,,,High Wind,2021.05.27,15,62,,,,,15,,,,,,
,,,,2021.05.26,1,3,,,,,1,,,,,,
,,Kothmale,High Wind,2021.05.26,2,9,,,,,2,,,,,,
,,,,2021.05.27,4,23,,,,,4,,,,,,
,,Walapane,,2021.05.27,1,6,,,,,1,,,,,,
,,Haguranketha,,2021.05.25-26,8,29,,,,,6,,,,,,
,,Ambagamuwa,Flood,2021:05:25,41,168,,,,,,,,1,27,103,Cultural Center
,,,Cutting Faliure,2021:05:25,6,29,,,,,4,,,,,,
,,,High Wind,2021.05.27-28,17,81,,,,1,16,,,,,,
,,,Landslide Risk,2021.05.26,16,53,,,,,,,,1,7,20,Leinon Tamil School
දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,129,542,0,0,0,1,57,0,0,7,52,202,
12,"මහනුවර
fz;b
Kandy",Gangawata Korale,High Wind,2021.05.24-26,7,24,,,,,6,,,,,,
,,Poojapitiya,,2021.05.24-26,12,49,,,,,12,,,,,,
,,,,2021.05.27,2,10,,,,,2,,,,,,
,,Yatinuwara,,2021.05.24-25,4,16,,,,,4,,,,,,
,,Deltota,,2021.05.25-27,8,27,,,,,8,,,,,,
,,,,2021.05.29,3,10,,,,,3,,,,,,
,,Udunuwara,,2021.05.25-27,7,34,,,,,7,,,,,,
,,,,2021.05.28-29,5,19,,,,,5,,,,,,
,,Harispattuwa,,2021.05.25-27,12,46,,,,,12,,,,,,
,,Minipe,,2021.05.25-26,14,46,,,,,10,,,,,,
,,Pathahewaheta,,2021.05.25-26,11,44,,,,,11,,,,,,
,,Pasbage Korale,,2021.05.25,8,25,,,,,6,,,,,,
,,,,2021.05.28,1,4,,,,,1,,,,,,
,,Thumpane,,2021.05.25-26,2,6,,,,,2,,,,,,
,,Ganga Ihala Korale,,2021.05.25-26,2,7,,,,,2,,,,,,
,,Pathadumbara,,2021.05.26,2,5,,,,,2,,,,,,
,,Ududumbara,,2021.05.26,1,5,,,,,1,,,,,,
,,,,2021.05.28,1,4,,,,,1,,,,,,
,,Udapalatha,,2021.05.25,2,9,,,,,3,1,,,,,
,,Hatharaliyadda,,2021.05.24-26,10,36,,,,,10,,,,,,
,,Panvila,,2021.05.26,6,16,,,,,6,,,,,,
,,Medadumbara,,2021.05.26-27,5,24,,,,,5,,,,,,
