River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water
Level
Rising or
Falling","24 Hr RF
in mm at
9:00 am",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.40,1.60,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.14,2.12,Normal,,0.0,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,10.51,10.46,Normal,,0.0,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.25,2.36,Normal,,4.1,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.62,0.60,Normal,,,1.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.91,0.91,Normal,,0.0,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.98,0.98,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.52,0.58,Normal,,0.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.25,5.24,Normal,,0.0,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.50,1.48,Normal,,,1.1,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.50,1.48,Normal,,0.0,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.94,2.93,Normal,,,1.4,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.61,1.59,Normal,,0.0,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.07,1.07,Normal,,0.0,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.70,0.70,Normal,,0.0,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.19,3.18,Normal,,0.0,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.88,0.87,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.42,0.42,Normal,,0.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,1.80,3.50,5.00,0.92,0.92,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,-0.06,-0.06,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.54,0.54,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,0.98,0.98,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.32,-0.32,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.36,0.36,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,
,,Manampitiya ( Old),m,3.50,5.00,6.00,-1.02,-1.02,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,0.12,0.12,Normal,,0.0,,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-3.20,-3.20,Normal,,0.0,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,3.90,3.90,Normal,,0.0,,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.78,1.76,Normal,,3.4,,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.26,0.20,Normal,,0.0,,
,Agra Oya,Calidonia,m,3.00,3.50,4.50,1.14,1.12,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.55,1.55,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.33,0.33,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,0.93,0.93,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-0.02,-0.02,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Ridi bendi Ella (Dam),m,3.30,4.20,4.70,1.12,1.12,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.41,2.39,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.25,1.25,Normal,,0.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.53,0.51,Normal,,0.0,,
