River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
5:00 pm","Water
Level at
6:00 pm",Remarks,"Water
Level
Rising or
Falling","9 Hr RF in
mm at 6.00
pm",,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.30,Normal,,-,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.41,4.31,Normal,,1.7,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.53,11.49,Normal,,,6.8,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.92,Normal,,14.2,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.60,0.60,Normal,,0.0,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.65,1.62,Normal,,4.9,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.64,0.64,Normal,,0.0,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.82,2.80,Normal,,4.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.86,8.84,Normal,,2.6,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.79,3.84,Normal,,15.1,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.25,2.28,Normal,,20.8,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,5.19,5.15,Alert,Falling,2.0,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.62,1.63,Normal,,3.3,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.80,1.70,Normal,,14.5,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.20,0.20,Normal,,1.5,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.42,2.50,Normal,,2.9,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.50,0.60,Normal,,0.0,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.04,0.04,Normal,,2.0,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.88,0.87,Normal,,0.0,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.67,0.68,Normal,,0.0,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.91,0.91,Normal,,0.0,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.31,1.31,Normal,,0.0,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.13,-0.13,Normal,,0.0,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.47,0.47,Normal,,0.0,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.0,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,0.00,0.00,Normal,,0.0,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-3.26,-3.28,Normal,,0.0,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.78,1.77,Normal,,0.0,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.57,1.55,Normal,,4.8,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.32,0.32,Normal,,0.0,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.28,1.28,Normal,,0.0,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.53,0.53,Normal,,0.0,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,1.34,1.33,Normal,,0.0,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.66,0.65,Normal,,0.0,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.46,0.47,Normal,,0.0,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.79,2.78,Normal,,0.0,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.38,1.36,Normal,,2.0,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.27,2.27,Normal,,2.0,,
