River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 PM","Water
Level at
3:00 PM",Remarks,"Water Level
Rising or
Falling","6 Hr RF in
mm at 3:00
PM",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.60,1.80,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,4.00,3.93,Normal,,7.7,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.99,12.02,Normal,,7.1,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.58,2.67,Normal,,4,,,.4
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.09,1.08,Normal,,,,3.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.62,1.68,Normal,,8.2,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.40,1.38,Normal,,8.7,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.48,2.47,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.85,8.81,Normal,,,2.2,,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,3.92,3.85,Normal,,0.0,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.14,2.13,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,4.97,4.94,Normal,,0.0,,,
Gin Ganga,Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.03,2.00,Normal,,0.0,,,
(RB 09),Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.03,2.00,Normal,,0.0,,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.73,1.71,Minor Flood,Falling,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.43,4.39,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.21,1.21,Normal,,0.0,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.59,0.58,Normal,,0.0,,,
Mahaweli Ganga,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,5.98,5.80,Alert,Falling,,,3.0,
(RB 60),Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.60,2.63,Normal,,4,,,.5
