River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.50,1.00,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.10,1.09,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.35,9.34,Normal,,0.0
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.70,1.40,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.49,0.49,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.44,0.41,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.63,0.63,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.56,0.41,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.55,4.55,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.03,1.03,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.27,1.28,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,1.95,1.90,Normal,,0.0
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.20,1.21,Normal,,0.0
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.48,1.46,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.75,0.74,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,3.20,3.19,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.83,0.83,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.48,0.48,Normal,,1.5
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.78,1.78,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,1.54,1.53,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.20,1.20,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.91,1.91,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.40,0.32,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.86,1.86,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.26,1.26,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,1.32,1.32,Normal,,0.0
,,Manampitiya ( Old),m,3.50,5.00,6.00,1.24,1.24,Normal,,0.0
,Mahaweli Ganga,Manampitiya (HMIS),m,4.65,6.15,7.15,2.38,2.38,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-0.75,-0.80,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.98,2.00,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.93,0.91,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,1.10,1.09,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,6.77,6.70,Alert,Falling,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.84,0.84,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,7.33,7.32,Minor Flood,Falling,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.50,1.48,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.82,0.81,Normal,,0.0
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.23,2.23,Normal,,0.0
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.12,1.12,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.02,1.02,Normal,,0.0
