,,,அெிைமான பலத்ெ,,,அெிைமான பலத்ெ,,
,,,மகழவீழ்ச்சி,,,மகழவீழ்ச்சி,,
,பதுகள,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"அவ்வப்பபாது மகழ
அல்லது இடியுடன்
கூடிய மகழ"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ; சில,,,கூடிய மகழ; சில,,
,,,இடங்ைளில் 100,,,இடங்ைளில் 100,,
,,,மி.மீ க்கும்,,,மி.மீ க்கும்,,
,,,அெிைமான பலத்ெ,,,அெிைமான பலத்ெ,,
,,,மகழவீழ்ச்சி,,,மகழவீழ்ச்சி,,
வடபமல்,குருநாைல்,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"அவ்வப்பபாது மகழ
தபய்யும்"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ,,,கூடிய மகழ,,
,புத்ெளம்,"பல ெடகவைள்
மகழ தபய்யும்",பல ெடகவைள்,,,அவ்வப்பபாது மகழ,,"அவ்வப்பபாது மகழ
தபய்யும்"
,,,மகழ தபய்யும்,,,அல்லது இடியுடன்,,
,,,,,,கூடிய மகழ,,
மத்ெிய,ைண்டி,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ; சில,,,கூடிய மகழ; சில,,
,,,இடங்ைளில் 75 –,,,இடங்ைளில் 75 –,,
,,,100 மி.மீ வகரயான,,,100 மி.மீ வகரயான,,
,,,ஓரளவு பலத்ெ,,,ஓரளவு பலத்ெ,,
,,,மகழவீழ்ச்சி,,,மகழவீழ்ச்சி,,
,நுவதரலியா,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ; சில,,,கூடிய மகழ; சில,,
,,,இடங்ைளில் 100,,,இடங்ைளில் 100,,
,,,மி.மீ க்கும்,,,மி.மீ க்கும்,,
,,,அெிைமான பலத்ெ,,,அெிைமான பலத்ெ,,
,,,மகழவீழ்ச்சி,,,மகழவீழ்ச்சி,,
,மாத்ெகள,,அவ்வப்பபாது மகழ,,,அவ்வப்பபாது மகழ,,"மகழ அல்லது
இடியுடன் கூடிய
மகழ"
,,,அல்லது இடியுடன்,,,அல்லது இடியுடன்,,
,,,கூடிய மகழ; சில,,,கூடிய மகழ; சில,,
,,,இடங்ைளில் 100,,,இடங்ைளில் 100,,
,,,மி.மீ க்கும்,,,மி.மீ க்கும்,,
,,,அெிைமான பலத்ெ,,,அெிைமான பலத்ெ,,
,,,மகழவீழ்ச்சி,,,மகழவீழ்ச்சி,,
