"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 03rd January 2020 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"ඌව
Cth khfhzk;
Uva",1,"බදුල්ල
gJs;is
Badulla",Bandarawela,Heavy Rain,2019.12.20,1,5,,,,,,,,1,1,5,Yowun Senankaya
,,,Passara,,,5,18,,,,,,,,1,5,18,1. kanawarella sarwodaya bulding
,,,Welimada,,,6,27,,,,,,,,1,6,27,Ambewela Malin Watta
,,,Lunugala,,,5,11,,,,,,,,1,5,11,Galulla Tamil Collage
,,,Ella,,,13,50,,,,,,,,2,13,50,"01. Hidagalawatta Montisory
02. Karandagolla Temple"
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,30,111,0,0,0,0,0,0,0,6,30,111,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,30,111,0,0,0,0,0,0,0,6,30,111,
,2,"මහනුවර
fz;b
Kandy",Minipe,High wind,2019.12.20,69,258,,,,,28,,,1,10,47,Thorapitiya Temple
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,69,258,0,0,0,0,28,0,0,1,10,47,
"මධ්‍යම පලාත
kj;jpa khfhzk;
Central",3,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Walapane,Land Slide Risk,2019.11.30/12.11,107,272,,,,,,,,10,107,272,"01. Munwatte Temple, 02.
Naranthalawa Wewakele temple,
03. Magrat School, 04.
Ekangapura School, 05. Brooksight
Childcare centre
06.Liyanwala School, 07. Watambe
School, 08. Harasbedda Temple
09. Kalamulle Temple 10.
Rockland State Childcare centre"
,,,,,2019.12.20,38,124,,,,,,,,1,38,124,Ilukpelesse Multiwok building
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,145,396,0,0,0,0,0,0,0,11,145,396,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,145,396,0,0,0,0,0,0,0,11,145,396,
"වයඹ පලාත
tlNky;
khfhzk;=
North Western",4,"කුරුනෑගල
FUdhfy;
Kurunegala",Maspotha,Drowning,2020.01.01,,,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
,5,"පුත්තලම
Gj;jsk;
Puttalam",Saliyawewa,Elaphant Attack,2020.01.01,,,1,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,0,0,1,0,0,0,0,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,0,0,2,0,0,0,0,0,0,0,0,0,
