"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :25th October 2024 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs;
Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"දකුණු පලාත
njd; khfhzk;
Southern",1,ගාල්ල/fhyp/Galle,Kadawathsathara,Lightning,2024.10.20,2,5,,,,,2,,,,,,
,,,Habaraduwa,Lightning,2024.10.20,16,48,,,,,16,,,,,,
,,,Baddegama,Heavy Rain,2024.10.20,1,4,,,,,1,,,,,,
,,,Niyagama,Heavy Rain,2024.10.20,1,3,,,,,1,,,,,,
,,,Hikkaduwa,Lightning,2024.10.20,1,2,,,,,1,,,,,,
,,,Imaduwa,Lightning,2024.10.20,2,6,,,,,2,,,,,,
,,,Madampagama,Heavy Rain,2024.10.21,10,35,,,,,,,,,,,
,,,Wliwitiya Divithura,Heavy Rain,2024.10.23,1,7,,,,,,,,,,,
,,,Gonapinuwela,Heavy Rain,2024.10.23,1,2,,,,,1,,,,,,
,,,Hikkaduwa,Lightning,2024.10.23,6,34,,,,,6,,,,,,
,,,Bopepoddala,Heavy Rain,2024.10.23,1,5,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,42,151,0,0,0,0,31,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,42,151,0,0,0,0,31,0,0,0,0,0,
"වයඹ පලාත
tlNky;
khfhzk; North
Western",2,"පුත්තලම
Gj;jsk;
Puttalam",Naththandiya,Flash Flood,2024.10.22,136,477,,,,,9,,,,,,
,,,Wennappuwa,,,156,472,,,,,,,,,,,
,,,Mahawewa,,2024.10.24,125,425,,,,,,,,,,,
,,,Mundalama,,,494,2005,,,,,,,,,,,
,,,Kalpitiya,,,563,1920,,,,,,,,,,,
,,,Puttalam,,,35,101,,,,,,,,,,,
,,,Madampe,,,1,3,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1510,5403,0,0,0,0,10,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1510,5403,0,0,0,0,10,0,0,0,0,0,
"උතුරු පලාත
tl khfhzk;
Northen",3,"මන්නාරම kd;dhH
Mannar",Mannar town,Thunder & Heavy Rain,2024.10.24,1608,5833,,,,,,,,3,97,336,
,,,Nanattan,,,290,1390,,,,,,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1898,7223,0,0,0,0,0,0,0,3,97,336,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1898,7223,0,0,0,0,0,0,0,3,97,336,
"ඌව
Cth khfhzk;
Uva",4,"බදුල්ල
gJs;is Badulla",Lunugala,Heavy Rain,2024.10.11,2,6,,,,,2,,,,,,
,,,Uvaparanagama,,2024.10.22,1,3,,,,,1,,,,,,
,,,Mahiyanganaya,Lightning,2024.10.21,6,25,,,,,6,,,,,,
,,,Rideemaliyadda,,,3,11,,,,,3,,,,,,
,,,Passara,Cutting Failure,,1,7,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,13,52,0,0,0,0,13,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,13,52,0,0,0,0,13,0,0,0,0,0,
"නැගගනහිර පලාත
fpof;F Eastern",5,"ත්‍රීකුණාමලය
jp.kiy
Trincomalee",Seruwila,High Wind,2024.10.23,1,4,,,,,1,,,,,,
,,,Muthur,High Wind,2024.10.24,1,4,,,,,1,,,,,,
,,,Kinniya,High Wind,2024.10.24,1,3,,,,,1,,,,,,
,,,Kuchchuweli,High Wind,2024.10.13,1,1,,,,,1,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4,12,0,0,0,0,4,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,4,12,0,0,0,0,4,0,0,0,0,0,
"සබරගමුව පලාත
rg;ufKt
Sabaragamuwa",6,"කෑගල්ල Nffhiy
Kegalle",Galigamuwa,Tree fallen,2024.10.23/22,5,17,,,,,5,,,,,,
,දිසරික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,5,17,0,0,0,0,5,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,5,17,0,0,0,0,5,0,0,0,0,0,
මුළු එකතුව nkhj;jf; $l;Lj;njhif GRAND TOTAL,,,,,,3472,12858,0,0,0,0,63,0,0,3,97,336,
