"වයඹ පලාත
tlNky; khfhzk;
North Western",6,"පුත්තලම
Gj;jsk;
Puttalam",Wanathavilluwa,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.01,60,215,,,,,,,,,,
,,,Nawagaththegama,,2023.08.08,726,2106,,,,,,,,,,
,,,Anamaduwa,,2023.08.21,167,603,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,953,2924,0,0,0,0,0,0,0,0,0,0
,7,"කුරුනෑෙල
FUdhfy;
Kurunegala",Bamunakotuwa,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.03,10,28,,,,,,,,,,
,,,Alawwa,,2023.08.11,635,2280,,,,,,,,,,
,,,Galgamuwa,,2023.08.02,85,340,,,,,,,,,,
,,,Giribawa,,2023.08.01,2862,9372,,,,,,,,,,
,,,Paduwasnuwara East,,2023.08.01,105,443,,,,,,,,,,
,,,Polgahawela,,2023.08.01,458,1330,,,,,,,,,,
,,,Polpitigama,,2023.08.09,833,2575,,,,,,,,,,
,,,Kuliyapitiya East,,2023.07.15,521,1736,,,,,,,,,,
,,,Kuliyapitiya West,,2023.08.11,126,467,,,,,,,,,,
,,,Narammala,,2023.08.15,200,715,,,,,,,,,,
,,,Rideegama,,2023.08.08,80,330,,,,,,,,,,
,,,Udubaddawa,,2023.08.10,134,488,,,,,,,,,,
,,,Weerambugedara,,2023.08.15,141,506,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,6190,20610,0,0,0,0,0,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,7143,23534,0,0,0,0,0,0,0,0,0,0
"උතුරු පලාත
tl khfhzk;
Northen",8,"යාපනය
aho;g;ghzk;
Jaffna",Delft,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.11,1038,3146,,,,,,,,,,
,,,Kayts,,,613,2050,,,,,,,,,,
,,,Chavakachcheri,,,3470,12885,,,,,,,,,,
,,,Maruthankerny,,,956,3067,,,,,,,,,,
,,,Chankanai,,,15967,49260,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,22044,70408,0,0,0,0,0,0,0,0,0,0
,9,"වව්නියාව/tTdpah/
Vavuniya",Vauniya North,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.04,450,1120,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,450,1120,0,0,0,0,0,0,0,0,0,0
,10,"මන්නාරම
kd;dhH
Mannar",Madu,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.03,952,3244,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,952,3244,0,0,0,0,0,0,0,0,0,0
,11,"මුලතිව්න
Ky;iyj;jPT
Mulaitivu",Manthai East,"Drinking water scarcity
due to prevailing dry
weather condition",2023.08.17,40,150,,,,,,,,,,
,,,Puthukudiyiruppu,,2023.08.08,167,563,,,,,,,,,,
,,,Tunukkai,,2023.08.11,35,122,,,,,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,242,835,0,0,0,0,0,0,0,0,0,0
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,23688,75607,0,0,0,0,0,0,0,0,0,0
