River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,3.00,3.00,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,6.86,6.93,Normal,,47.,6
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,14.94,14.88,Normal,,42.,1
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,2.00,2.00,Normal,,67.9,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,2.31,2.27,Normal,,33.3,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,2.20,2.11,Normal,,68.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,1.70,1.68,Alert,Falling,42.,0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.83,2.82,Normal,,25.3,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.54,8.54,Normal,,29.6,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,5.96,5.63,Alert,Falling,28.9,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.05,3.09,Normal,,8.2,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.51,6.50,Minor Flood,Falling,30.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.10,3.12,Normal,,5.9,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.69,3.70,Normal,,42.,2
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.44,1.44,Alert,,5.7,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.04,5.03,Alert,Falling,10.3,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.72,1.70,Normal,,11.5,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.24,1.26,,,23.9,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.39,1.43,Normal,,4.2,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.58,0.58,Normal,,17.4,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.78,0.78,Normal,,1.3,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.33,1.32,Normal,,4.5,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.10,-0.10,Normal,,22.4,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.78,0.78,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.48,0.48,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.42,0.42,Normal,,3.8,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.47,0.45,Normal,,1.4,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.23,-2.30,Normal,,1.3,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,4.56,4.35,Normal,,23.4,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,2.18,2.21,Normal,,71.1,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.36,0.35,Normal,,2.4,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.83,1.82,Normal,,5.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,3.2,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.61,1.63,Normal,,3.4,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,5.75,5.72,Alert,Falling,8.5,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,4.35,4.38,Normal,,29.8,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,3.81,3.82,Normal,,30.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.80,4.80,Minor Flood,,16.4,
