River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 am","Water
Level at
9:00 am",Remarks,"Water Level
Rising or
Falling","24 Hr RF
in mm at
8.30 am"
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,N' Street,ft,4.00,5.00,7.00,1.10,1.10,Normal,,-
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,0.60,0.66,Normal,,0.0
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,8.87,8.85,Normal,,0.0
,Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.52,1.45,Normal,,0.0
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.45,0.44,Normal,,0.0
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.27,0.31,Normal,,0.0
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.49,0.49,Normal,,0.0
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.54,0.48,Normal,,0.0
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,4.72,4.70,Normal,,0.0
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,1.19,1.18,Normal,,0.0
,Maguru Ganga,Magura,m,4.00,6.00,7.50,1.48,1.47,Normal,,0.0
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,2.09,2.05,Normal,,0.0
"Gin Ganga
(RB 09)",Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.32,1.28,Normal,,0.0
,Gin Ganga,Tawalama,m,4.00,6.00,7.50,1.41,1.40,Normal,,0.0
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.24,0.22,Normal,,0.0
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.68,2.66,Normal,,0.0
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.52,0.52,Normal,,0.0
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.28,0.26,Normal,,0.0
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.03,1.03,Normal,,0.0
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.85,0.84,Normal,,0.0
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.91,0.91,Normal,,0.0
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.57,1.57,Normal,,0.0
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.39,0.38,Normal,,0.0
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.13,1.13,Normal,,0.0
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.61,0.61,Normal,,0.0
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.82,0.82,Normal,,0.0
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Manampitiya ( Old),m,3.50,5.00,6.00,-0.21,-0.14,Normal,,0.0
,,Manampitiya (HMIS),m,4.65,6.15,7.15,0.93,1.00,Normal,,0.0
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-1.88,-2.07,Normal,,0.0
,Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.70,1.80,Normal,,0.0
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,0.73,0.73,Normal,,0.0
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.65,0.64,Normal,,0.0
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.74,1.75,Normal,,0.0
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.59,0.59,Normal,,0.0
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.18,1.18,Normal,,0.0
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.36,0.36,Normal,,0.0
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.68,0.68,Normal,,0.0
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,1.97,1.97,Normal,,0.0
,Maha Oya,Giriulla,m,5.50,6.50,7.50,0.95,0.94,Normal,,0.0
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,0.77,0.76,Normal,,0.0
