"Page 1 Situati
තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Situation Report- Sri Lanka
දිනය /jpfjp / Date : 20th September 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l
Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp
DS Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"මධ්‍යම පලාත
kj;jpa khfhzk
Central",1,"නුවරඑලිය
Etnuypah
Nuwara Eliya",Nuwaraeliya,Fire,2020.08.11,35,125,,,,24,,,,1,35,125,Muththumari Amman Kovil
,,,,Cutting failure,2020.09.18,5,16,,,,,3,,,,,,
,,,Abagamuwa,Cutting failure,2020.09.07,2,11,,,,,1,,,1,2,12,Layagams Hotel
,,,Wlapane,Fire,2020.09.18,,,,,,3,,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,42,152,0,0,0,27,4,0,0,2,37,137,
,,,Udunuwara,High Wind,2020.09.18,1,6,,,,,1,,,,,,
,,,Harispattuwa,High Wind/Heavy Rain,2020.09.18,4,16,,,,1,3,,,,,,
,,,Ududumbara,Heavy Rain,2020.09.18,2,5,,,,,2,,,,,,
,,,Pathadumbara,Heavy Rain,2020.09.18,1,4,,,,,1,,,,,,
,,,Akurana,High Wind,2020.09.18,1,5,,,,,1,,,,,,
,,නුවර,,Landslide Risk,,1,8,,,,,,,,,,,
,2,fz;b,Thumpane,Heavy Rain,2020.09.18,1,7,,,,,1,,,,,,
,,Kandy,Gangawata korale,High Wind/Heavy Rain 2020.0918,,1,5,,,,,1,,,,,,
,,,,Ladslide,2020.09.20,5,23,3,2,,2,3,,,,,,
,,Yatinuwara,,High Wind,2020.09.19,5,19,,,,,5,,,,,,
,,Pathahewaheta,,,2020.09.19,1,3,,,,,1,,,,,,
,,,Medadumbara,High Wind/Heavy Rain,2020.09.19,2,9,,1,,,2,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,25,110,3,3,0,3,21,0,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,67,262,3,3,0,30,25,0,0,2,37,137,
,,බදුල්ල,Welimada,Fire,2020.08.17,12,54,,,,12,,,,1,12,54,Alakolagala Day Care Centre
,3,"gJs;is
Badulla",Welimada,High Wind,2020.09.07,49,201,,1,,,49,,,,,,
,,,Redimaliyadda,Tree Fallen,2020.09.18,1,5,,,,,1,,,,,,
,දිසරික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,62,260,0,1,0,12,50,0,0,1,12,54,
