"දදනික තත්ත්ව වාර්තාව-ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date :20th May 2022 at 0600 hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிர்வாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவட்டம் District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களின்
சேதங்கள்; Small,
Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
,1,,Rathnapura,"Flood / Landslide Risk
/ High Wind / Heavy
Rain/ Lightning /
Cutting Failiture","2022.05.13/14/15/
16",1268,5188,,,,,12,,,,,,
,,,Elapatha,,,407,1516,,,,,14,,,,,,
,,,Kuruvita,,,79,305,,,,,13,1,,,,,
,,,Nivithigala,,,8,26,,,,,8,,,,,,
,,,Eheliyagoda,,,2,7,,,,,2,,,,,,
,,,Pelmadulla,,,117,493,,,,,105,12,,,,,
,,,Kiriella,,,16,58,,,,,2,,,,,,
,,රත්නපුර,Kolonna,,,2,8,,1,,,2,1,,,,,
,,",uj;jpdGhp
Rathnapura",Ayagama,,,38,163,,,,,4,,,,,,
,,,Kalawana,,,29,96,,,,1,28,3,,,,,
,,,Ibulpe,,,4,17,,,,,4,,,,,,
,,,Opanayaka,,,8,22,,,,,8,,,,,,
,,,Godakawela,,,5,20,,,,,5,,,,,,
,,,Balangoda,,,3,12,,,,,3,,,,,,
,,,Kahawaththa,,,9,29,,,,,9,,,,,,
,,,Weligapola,,,1,2,,,,,2,1,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,1996,7962,0,1,0,1,221,18,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,1996,7962,0,1,0,1,221,18,0,0,0,0,
,2,,Beruwala,"High Wind /Heavy
Rain/ Lightning","2022.05.13/14/15/
16/17/18",4,16,,,,,4,,,,,,
,,,Bulathsinhala,,,30,101,,1,,,6,,,,,,
,,,Palindanuwara,,,20,78,,,,,4,,,,,,
,,,Dodangoda,,,16,57,,,,,11,,,,,,
,,,Mathugama,,,5,19,,,,,5,,,,,,
,,,Ingiriya,,,38,145,,,,,7,,,,,,
,,කළුතර,Kalutara,,,17,66,,,,,8,,,,,,
,,"fSj;Jiw
Kalutara",Bandaragama,,,2,10,,,,,2,,,,,,
,,,Agalawatta,,,10,39,,,,,10,,,,,,
,,,Walallavita,,,9,40,,,,,9,,,,,,
,,,Horana,,,2,4,,,,,2,,,,,,
,,,Madurawala,,,30,94,,,,,4,,,,,,
,,,Millaniya,,,26,80,,,,,9,,,,,,
,,,Panadura,,,7,25,,,,,7,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,216,774,0,1,0,0,88,0,0,0,0,0,
,3,"ගම්පහ fk;g`h
Gampaha",Gampaha,Heavy Rain,"2022.05.13/14/15/
16/17",2,9,,,,,2,,,,,,
,,,Mahara,Heavy Rain & Wind,,1,4,,,,,1,1,,,,,
,,,Dompe,Tree Fallan,,6,29,,,,,6,1,,,,,
,,,Minuwangoda,High Wind,,1,4,,,,,1,,,,,,
,,,Atthangalla,Heavy Rain & Wind,,4,21,,,,,4,1,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,14,67,0,0,0,0,14,3,0,0,0,0,
,පළාත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,230,841,0,1,0,0,102,3,0,0,0,0,
,4,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Puthukuduiruppu,High Wind,2022.05.16,1,3,,,,,1,,,,,,
