"2026.01.05 උදෑසන 8.30 සිට 2026.01.06 උදෑසන 08.30 දක්වො කොලය ුල වොර්තො වී
ඇති වර්ෂොපතන අගයන්ත.",,
මධ්‍යස්ථොනය,දිස්ික්කය,වර්ෂොපතනය(මි.මී.)
ලාහුගල,අම්පාර,173.5
කන්දකැටිය,බදුල්ල,120.5
ගිරාදුරුවකෝට්වට්,බදුල්ල,112.0
වගෝනපිටිය,නුවරඑළිය,98.0
උල්ිටිය,බදුල්ල,93.5
රන්වදනිගල,නුවරඑළිය,90.5
