"Locations for Potential Risk
නායයෑමේ අවදානම පැවතිය හැකි ප්‍රමේශ fdjpahd mghaKs;s ,lq;fs;",,,
District,,,
,Level 1 (Yellow),Level 2 (Amber),Level 3 (Red)
,,,
Colombo,"Padukka and
Seethawaka
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Galle,,"Yakkalamulla,
Nagoda and
Baddegama
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kalutara,"Horana,
Mathugama,
Dodangoda and
Agalawatta
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Walallawita,
Bulathsinhala,
Ingiriya and
↓ Palindanuwara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Kandy,"Ududumbara
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Kegalle,"Yatiyanthota
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Deraniyagala,
Bulathkohupitiya,
Ruwanwella and
Dehiowita
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",
Matale,"Ambanganga Korale
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Nuwara Eliya,"Ambagamuwa
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.",,
Ratnapura,"Pelmadulla,
Nivithigala and
Kiriella
Divisional Secretariat
Division(s) (DSD) and
surrounding areas.","Kahawaththa,
Eheliyagoda,
Kalawana,
Ayagama,
↓ Kuruwita,
↓ Elapatha and
↓ Ratnapura",
