River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 pm","Water
Level at
3:00 pm",Remarks,"Water
Level
Rising or
Falling","6 Hr RF in
mm at 3.00
pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.60,1.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,1.71,1.72,Normal,,3.2,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.94,9.93,Normal,,0.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.73,1.72,Normal,,0.0,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.70,0.63,Normal,,0.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,0.68,0.64,Normal,,0.0,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.86,0.85,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,0.95,0.96,Normal,,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,6.42,6.40,Normal,,4.0,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,2.70,2.58,Normal,,0.0,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.49,2.49,Normal,,0.0,
,Kuda Ganga,Kalawellawa (Millakanda),m,5.00,6.50,8.00,3.30,3.27,Normal,,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,1.88,1.86,Normal,,,8.4
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.77,1.77,Normal,,24.6,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.00,1.00,Normal,,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.06,3.98,Normal,,0.0,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.16,1.09,Normal,,0.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.79,0.77,Normal,,0.0,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.21,1.18,Normal,,0.0,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,1.41,1.36,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,1.15,1.17,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.76,1.75,Normal,,0.0,
"Menik Ganga (RB
26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,0.39,0.38,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,1.33,1.33,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,1.02,1.02,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,1.45,1.45,Normal,,0.0,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,3.27,3.23,Alert,Falling,0.0,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-1.14,-0.99,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.37,2.40,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.18,1.15,Normal,,0.0,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.85,0.84,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,6.25,6.31,Alert,Rising,0.0,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,1.19,1.19,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,4.30,4.32,Normal,,2.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,1.37,1.38,Normal,,,8.3
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,-,-,,,-,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.55,2.55,Normal,,0.0,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.33,1.33,Normal,,0.0,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.20,1.20,Normal,,0.0,
