"දදනික තත්ත්ව වාර්තාව- ශ්‍රී ලංකාව/epiyik mwpf;if-,yq;if/Situation Report- Sri Lanka දිනය/jpfjp /Date 01st June 2025 at 0900hrs",,,,,,,,,,,,,,,,,,
"පළාත khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purview",,"ආපදාව
mdHj;jk
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;f
s;
Deaths","තුවාලවු
පුද්ගලයින්
fhakil
e;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයින්
fhzhky;
NghNdhH
Missing
People","නිවාස්ත්‍ හානි Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු
NtW Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ හානි
KOik Fully","අර්ධ හානි
gFjpasT
Partially","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත් යටිතල
පහසුකම් වලට වූ
හානි mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Locations","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලාත
tlNky; khfhzk;
North Western",1,,Arachchikattuwa,High Wind/Tree Fallen,2025.05.30,2,6,,,,,2,,,,,,
,,,Nattandiya,,,14,50,,,,,13,,,,,,
,,,chilow,,,15,64,,,,,15,,,,,,
,,,Dankotuwa,,,7,27,,,,,7,,,,,,
,,,Mundalama,,,28,92,,,,,28,,,,,,
,,,Mahawewa,,,1,4,,,,,1,,,,,,
,,පුත්තලම,Wennappuwa,,,4,17,,,,,4,,,,,,
,,"Gj;jsk;
Puttalam",Madampe,,,7,26,,,,,6,,,,,,
,,,Mahakumbukkadawala,,,69,226,,,,,69,,,,,,
,,,Pallama,,,20,86,,,,,20,,,,,,
,,,Nawagattegama,,,4,16,,,,,4,,,,,,
,,,Puttalama,,,1,4,,,,,1,,,,,,
,,,Anamaduwa,,,17,53,,,,,17,,,,,,
,,,Wanatavilluwa,,,1,6,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,190,677,0,0,0,0,188,0,0,0,0,0,
"දකුණු පලාත
njd; khfhzk;
Southern",2,,Hambanthota,,2025.05.19,1,1,,,,,1,,,,,,
,,,Katuwana,,2025.05.30,1,2,,,,,1,,,,,,
,,,,,2025.05.27,4,13,,,,,4,,,,,,
,,හම්බන්තාට,,,2025.05.28,3,11,,,,,3,,,,,,
,,`k;ghe;Njhl;il,Walassmulla,High Wind,,1,7,,,,,1,,,,,,
,,Hambantota,Thangalla,,,1,4,,,,,1,,,,,,
,,,,,2025.05.29,3,12,,,,,3,,,,,,
,,,Weeraketiya,,2025.05.28,1,4,,,,,1,,,,,,
,,,Agunakolapelessa,,2025.05.25,1,3,,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,16,57,0,0,0,0,16,0,0,0,0,0,
,3,"ගාල්ල
fhyp
Galle",Baddegama,High Wind/ Rain,2025.05.31,48,166,,,,,47,1,,,,,
,,,Akmeemana,High Wind/ Rain,2025.05.30-31,22,81,,,,,21,,1,,,,
,,,Elpitiya,High Wind/ Rain,2025.05.30-31,59,212,,,,,56,,1,,,,
,,,Niyagama,High Wind/ Rain,2025.05.30-31,7,28,,,,,6,,,,,,
,,,Wanduramba,High Wind/ Rain,2025.05.30-31,14,47,,,,,14,,,,,,
,,,Rathgama,High Wind/ Rain,2025.05.30-31,12,50,,,,,12,,,,,,
,,,Karandeniya,High Wind/ Rain,2025.05.30-31,24,70,,,,4,20,,,,,,
,,,Bope - Poddala,High Wind/ Rain,2025.05.30-31,5,20,,,,,5,,,,,,
,,,Imaduwa,High Wind/ Rain,2025.05.30-31,10,45,,,,1,9,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,201,719,0,0,0,5,190,1,2,0,0,0,
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,217,776,0,0,0,5,206,1,2,0,0,0,
