River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
2:00 am","Water
Level at
3:00 am",Remarks,"Water
Level
Rising or
Falling","18 Hr RF
in mm at
3.00 am",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,2.30,2.30,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.24,3.24,Normal,,3.1,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.08,11.10,Normal,,4.6,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.85,1.85,Normal,,3.2,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.64,0.64,Normal,,,,1.2,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.30,1.28,Normal,,0.0,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.59,0.58,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.65,-,,,,,,2.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.33,8.30,Normal,,,0.5,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.38,3.30,Normal,,0.1,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.68,3.64,Normal,,,,,1.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.64,6.64,Minor Flood,,,,,1.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.18,3.16,Normal,,0.0,,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.13,1.12,Normal,,,,,1.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.85,0.85,Normal,,0.0,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.29,4.23,Normal,,0.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.94,0.90,Normal,,0.0,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.40,0.39,Normal,,0.0,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.91,0.91,Normal,,0.0,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.70,0.70,Normal,,0.0,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.94,0.96,Normal,,0.0,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.34,Normal,,0.0,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.18,-0.17,Normal,,0.0,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0,,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-,-,,,0.0,,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.14,2.09,Normal,,0.0,,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.59,-,,,4.5,,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.31,0.29,Normal,,0.0,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.30,1.30,Normal,,0.0,,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.39,0.39,Normal,,0.0,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.44,2.43,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.18,1.17,Normal,,0.0,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.80,1.79,Normal,,2.7,,,,,
