RiverBasin,Tributory/River,GaugingStation,,,,,"Water
Levelat
8:00am","Water
Levelat
9:00am",Remarks,"Water
Level
Risingor
Falling","24HrRF
inmmat
8.30am",,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,
"KelaniGanga
(RB01)",KelaniGanga,NagalagamStreet,ft,4.00,5.00,7.00,0.70,0.70,Normal,,-,,,
,KelaniGanga,Hanwella,m,7.00,8.00,10.00,0.72,0.71,Normal,,0.0,,,
,KelaniGanga,Glencourse,m,15.00,16.50,19.00,9.04,8.97,Normal,,0.0,,,
,KelaniGanga,Kithulgala,m,3.00,4.00,6.00,1.78,1.79,Normal,,0,,,.7
,GurugodaOya,Holombuwa,m,3.00,3.40,5.00,0.19,0.19,Normal,,0.0,,,
,SeethawakaGanga,Deraniyagala,m,4.80,5.80,6.40,0.33,0.34,Normal,,0.0,,,
,KehelgamuOya,Norwood,m,1.50,3.00,4.50,0.74,0.74,Normal,,0.0,,,
"KaluGanga
(RB03)",KaluGanga,Putupaula,m,3.00,4.00,5.00,0.15,0.10,Normal,,0.0,,,
,KaluGanga,Ellagawa,m,10.00,10.70,12.20,4.14,4.13,Normal,,0.0,,,
,KaluGanga,Rathnapura,m,5.20,7.50,9.50,0.70,0.70,Normal,,0.0,,,
,MaguruGanga,Magura,m,4.00,6.00,7.50,0.71,0.70,Normal,,0.0,,,
,KudaGanga,Kalawellawa(Millakanda),m,5.00,6.50,8.00,1.56,1.50,Normal,,0.0,,,
"GinGanga
(RB09)",GinGanga,Baddegama,m,3.50,4.00,5.00,1.08,1.10,Normal,,0.0,,,
,GinGanga,Thawalama,m,4.00,6.00,7.50,0.90,0.90,Normal,,0.0,,,
"NilwalaGanga
(RB12)",NilwalaGanga,Thalgahagoda,m,1.40,1.70,2.80,0.19,0.17,Normal,,0.0,,,
,NilwalaGanga,Panadugama,m,5.00,6.00,7.50,2.05,2.05,Normal,,0.0,,,
,NilwalaGanga,Pitabeddara,m,4.00,5.00,6.50,0.19,0.19,Normal,,0.0,,,
,UrubokkaGanga,Urawa,m,2.50,4.00,6.00,-0.05,-0.05,Normal,,0.0,,,
"WalaweGanga
(RB18)",WalaweGanga,Moraketiya,m,3.00,5.00,7.00,0.50,0.50,Normal,,0.0,,,
"KirindiOya
(RB22)",KirindiOya,Thanamalwila,m,4.00,5.00,5.50,0.44,0.44,Normal,,0.0,,,
,KirindiOya,Wellawaya,m,4.40,5.40,5.90,0.89,0.89,Normal,,0.0,,,
,KudaOya,KudaOya,m,6.90,8.40,8.80,1.04,1.03,Normal,,0.0,,,
"MenikGanga
(RB26)",MenikGanga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,,,
"KumbukkanOya
(RB31)",KumbukkanOya,Nakkala,m,5.00,6.00,7.50,0.74,0.74,Normal,,0.0,,,
"HedaOya
(RB36)",HedaOya,Siyambalanduwa,m,4.50,6.00,7.00,0.22,0.22,Normal,,0.0,,,
"MaduruOya
(RB54)",MaduruOya,Padiyathalawa,m,4.00,4.50,6.00,0.09,0.09,Normal,,0.0,,,
"Mahaweli
Ganga (RB60)",MahaweliGanga,Manampitiya,m,3.00,4.30,6.00,-0.02,-0.02,Normal,,0.0,,,
,MahaweliGanga,Weraganthota,m,5.00,6.00,8.00,-2.71,-2.71,Normal,,0.0,,,
,MahaweliGanga,Peradeniya,m,5.00,7.00,9.00,1.78,2.10,Normal,,,0.2,,
,MahaweliGanga,Nawalapitiya,m,3.50,5.00,6.00,1.18,1.18,Normal,,1.5,,,
,BaduluOya,Thaldena,m,3.00,4.00,5.00,0.25,0.26,Normal,,0.0,,,
"YanOya
(RB67)",YanOya,Horowpothana,m,6.00,7.50,10.50,1.47,1.47,Normal,,0.0,,,
"MaaOya(RB
69)",MukunuOya,YakaWewa,m,4.00,5.00,6.00,0.45,0.45,Normal,,0.0,,,
"MalwathuOya
(RB90)",MalwathuOya,Thanthirimale,m,5.00,6.80,7.80,0.63,0.63,Normal,,0.0,,,
"MeeOya
(RB95)",MeeOya,Galgamuwa,m,4.84,5.94,8.00,0.18,0.18,Normal,,0.0,,,
"DeduruOya
(RB99)",DeduruOya,Moragaswewa,m,4.75,6.00,7.00,0.21,0.21,Normal,,0.0,,,
"MahaOya
(RB102)",MahaOya,Badalgama,m,5.00,6.20,9.60,1.83,1.83,Normal,,,,0.4,
,MahaOya,Giriulla,m,5.50,6.50,7.50,0.80,0.80,Normal,,0.0,,,
"AttanagaluOya
(RB103)",AttanagaluOya,Dunamale,m,3.30,4.40,5.50,0.07,0.07,Normal,,0.0,,,
