,"කෑගේල
Nffhiy
Kegalle",Kegalle,Rock Fallen,2024.11.26,3,15,,,,,3,,,,,,
,,,Heavy Rain,2024.11.30,2,10,,,,,2,,,,,,
7,,Warakapola,Tree Fallen,2024.11.25,4,18,,,,,4,,,,,,
,,,Rock Fallen,2024.11.24,1,4,,,,,1,,,,,,
,,,Wall Collapse,2024.11.26,2,9,,,,,2,,,,,,
,,Galigamuwa,Tree Fallen,2024.11.25,7,32,,,,,7,,,,,,
,,Rambukkana,Wall Collapse,2024.11.26/28,7,27,,,,,6,,,,,,
,,,Heavy Rain,2024.12.02,2,5,,,,,2,,,,,,
,,,Heavy Rain,2024.1129,1,3,,,,,1,,,,,,
,,,Cutting Failure,2024.11.30,1,4,,,,,1,,,,,,
,,,Heavy Rain,2024.12.01,2,4,,,,,2,,,,,,
,,Yatiyanthota,High wind,2024.11.26/28,14,62,,,,,14,,,,,,
,,,Wind,2024.11.30,1,2,,,,,1,,,,,,
,,Ruwanwella,Flood,2024.11.26,4,17,,,,,1,,,,,,
,,Deraniyagala,High wind / tree Fallen,2024.11.27,4,11,,,,,4,,,,,,
,,Dehiowita,Tree Fallen,2024.11.28,1,3,,,,,1,,,,,,
,,Aranayake,Cutting Faliure,2024.11.22,7,22,,,,,7,,,,,,
,,,Rock Fallen,2024.11.28,5,21,,,,,5,,,,,,
,,Mawanella,"Cutting Faliure /
Heavy Rain /High
wind/ Tree Fallen","2024.11.24 / 25
/26 /27 /28",9,33,,,,,9,,,,,,
,,,,,1,2,,,,,1,,,,,,
,,,,,15,66,,,,,15,,,,,,
,,,,,15,41,,,,,15,,,,,,
,,,,2024.12.02,3,8,,,,,3,,,,,,
,,Bulathkohupitiya,Cutting Faliure,2024.11.25,2,9,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,113,428,0,0,0,0,109,0,0,0,0,0,
පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,307,1172,0,2,0,0,288,1,0,0,0,0,
8,"යාපනය
aho;g;ghzk;
Jaffna",Chavakachcheri,Flash Flood,2024.11.27,4165,13320,,,,,16,,,7,195,586,
,,Kayts,,,630,2470,,,,,12,,,,,,
,,Point Pedro,,,1476,5584,,,,3,79,7,,,,,
,,Nallur,,,2090,6383,,1,,1,9,1,,,,,
,,Thellippalai,,,1477,4732,,,,,2,,,,,,
,,Chankanai,,,2276,7583,,,,1,30,,,,,,
,,Karainagar,,,219,774,,,,,3,2,,,,,
,,Sandilippay,,,1919,6978,,,,,28,4,2,,,,
,,Kopay,,,1834,6019,,,,,10,,,,,,
,,Jaffna,,,2096,7530,,,,,4,,,,,,
,,Uduvil,,,1132,4030,1,,,,25,3,,,,,
,,Delft,,,1150,3415,,,,,2,1,,,,,
,,Velanai,,,660,2101,,,,,4,,2,,,,
,,Karavedy,,,473,1640,,,,,6,,,,,,
,,Maruthankerny,,,395,1176,,,,,2,,,,,,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,21992,73735,1,1,0,5,232,18,4,7,195,586,
9,,Karachchi,High Wind/Flood,2024.11.22 - 26,1294,4444,,,,,11,,4,,,,
,"කිලිලනාච්චිය
fpspnehr;rp",Kandawalai,,2024.11.22 - 26,2455,7217,,,,,12,1,,,,,
,Killinochchi,Pachchilaippailli,,2024.11.22 - 26,232,750,,,,,5,,,,,,
,,Poonkary,,2024.11.22 - 26,783,2444,,,,,,,,1,1,3,
දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,4764,14855,0,0,0,0,28,1,4,1,1,3,
