River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
Level
Rising or
Falling","12 Hr RF
in mm at
9.00 pm",,,,,
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.50,1.50,Normal,,-,,,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,3.49,3.45,Normal,,3.1,,,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,11.13,11.05,Normal,,4.6,,,,,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.98,1.98,Normal,,3.2,,,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.67,0.67,Normal,,,,0.9,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.42,1.42,Normal,,0.0,,,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.59,0.59,Normal,,0.0,,,,,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,2.70,2.69,Normal,,,,,2.0,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.46,8.44,Normal,,,0.5,,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,3.80,3.74,Normal,,0.1,,,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,3.98,3.93,Normal,,,,,1.7,,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,6.72,6.68,Minor Flood,Falling,,,,1.6,,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,3.29,3.27,Normal,,0.0,,,,,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,2.20,2.18,Normal,,,,,1.8,,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.95,0.95,Normal,,0.0,,,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,4.41,4.40,Normal,,0.0,,,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.13,1.10,Normal,,0.0,,,,,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.49,0.48,Normal,,0.0,,,,,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.93,0.93,Normal,,0.0,,,,,
"Kirindi Oya
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.75,0.74,Normal,,0.0,,,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.98,0.96,Normal,,0.0,,,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.34,1.34,Normal,,0.0,,,,,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.17,-0.17,Normal,,0.0,,,,,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.68,0.68,Normal,,0.0,,,,,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.41,0.41,Normal,,0.0,,,,,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.10,0.10,Normal,,0.0,,,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.10,-0.10,Normal,,0.0,,,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,,,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.73,1.74,Normal,,0.0,,,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.85,1.79,Normal,,4.5,,,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.30,0.28,Normal,,0.0,,,,,
"Yan Oya
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.29,1.29,Normal,,0.0,,,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.54,0.54,Normal,,0.0,,,,,
"Malwathu Oya
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,,,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,,,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.40,0.40,Normal,,0.0,,,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.59,2.57,Normal,,0.0,,,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.23,1.22,Normal,,0.0,,,,,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,2.00,2.00,Normal,,2.7,,,,,
