River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
11:00 am","Water
Level at
12:00
noon",Remarks,"Water
3
Level
Rising or
1
Falling","Hr RF in
mm at
2.00 noon",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,6.10,6.10,Minor Flood,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,7.58,7.57,Alert,Falling,1.7,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.30,12.25,Normal,,2.3,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.97,2.07,Normal,,0.5,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.26,1.24,Normal,,1.7,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.57,1.57,Normal,,1.4,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,0.0,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,5.54,5.55,Major Flood,Rising,0.0,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,12.45,12.43,Major Flood,Falling,3.4,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,7.05,7.00,Alert,Falling,4.2,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,5.21,5.14,Alert,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,10.82,10.78,Major Flood,Falling,0.0,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,5.52,5.53,Major Flood,Rising,1.2,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,3.12,3.10,Normal,,3.2,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,3.23,3.20,Major Flood,Falling,0.0,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,6.54,6.51,Minor Flood,Falling,0.9,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,2.05,2.04,Normal,,2.0,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,1.01,1.00,Normal,,2.6,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.22,1.21,Normal,,0.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.42,0.42,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.72,0.72,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.28,1.28,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.26,-0.26,Normal,,0.0,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.82,0.81,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.43,0.43,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.40,0.40,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.21,0.21,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.95,-2.97,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.82,2.80,Normal,,0.0,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.53,1.53,Normal,,0.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.41,0.41,Normal,,0.0,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,1.53,1.53,Normal,,0.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.52,0.52,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.20,1.19,Normal,,0.0,
"Mee Oya
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,0.27,0.27,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,1.85,1.85,Normal,,0.0,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,3.76,3.68,Normal,,0.4,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,2.40,2.35,Normal,,0.8,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,5.36,5.33,Minor Flood,Falling,0.5,
