River Basin,Tributory/River,Gauging Station,,,,,"Water
Level at
8:00 pm","Water
Level at
9:00 pm",Remarks,"Water
1
Level
Rising or
Falling","2 Hr RF
in mm at
9.00 pm",
,,Station,Unit,"Alert
Level","Minor
Flood
Level","Major
Flood
Level",,,,,,
,Kelani Ganga,N' Street,ft,4.00,5.00,7.00,2.50,2.80,Normal,,-,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,5.24,5.24,Normal,,53.8,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,12.25,12.37,Normal,,23.0,
"Kelani Ganga
(RB 01)",Kelani Ganga,Kitulgala,m,3.00,4.00,6.00,1.90,1.85,Normal,,18.7,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,1.88,2.10,Normal,,30.0,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.76,1.73,Normal,,39.3,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.87,0.87,Normal,,13.8,
"Kalu Ganga
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,3.07,3.08,Alert,Rising,0.9,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,8.59,8.59,Normal,,5.0,
,Kalu Ganga,Ratnapura,m,5.20,7.50,9.50,4.69,4.67,Normal,,15.3,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,4.64,4.59,Alert,Falling,0.0,
,Kuda Ganga,"Kalawellawa
(Millakanda)",m,5.00,6.50,8.00,7.50,7.52,Minor Flood,Rising,3.4,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,4.02,4.02,Minor Flood,,22.3,
(RB 09),Gin Ganga,Tawalama,m,4.00,6.00,7.50,2.75,2.74,Normal,,17.1,
"Nilwala Ganga
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,1.56,1.56,Alert,,13.6,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,5.25,5.24,Alert,Falling,21.5,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,1.54,1.56,Normal,,10.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.83,0.84,Normal,,10.2,
"Walawe Ganga
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,1.30,1.30,Normal,,0.6,
"Kirindi Oya
(RB 22)",Kirindi Oya,Tanamalwila,m,4.00,5.00,5.50,0.62,0.61,Normal,,0.0,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.83,0.83,Normal,,0.0,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.32,1.32,Normal,,0.0,
"Menik Ganga
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.12,-0.12,Normal,,21.3,
"Kumbukkan Oya
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.91,0.91,Normal,,0.0,
"Heda Oya
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.59,0.59,Normal,,0.0,
"Maduru Oya
(RB 54)",Maduru Oya,Padiyatalawa,m,4.00,4.50,6.00,0.49,0.49,Normal,,0.0,
,Mahaweli Ganga,Manampitiya (HMIS),m,3.00,4.30,6.00,0.61,0.58,Normal,,0.0,
,Mahaweli Ganga,Weragantota,m,5.00,6.00,8.00,-2.19,-2.23,Normal,,0.0,
"Mahaweli Ganga
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,2.21,2.33,Normal,,7.2,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.76,1.77,Normal,,32.0,
,Badulu Oya,Taldena,m,3.00,4.00,5.00,0.44,0.47,Normal,,0.3,
"Yan Oya
(RB 67)",Yan Oya,Horowpatana,m,6.00,7.50,10.50,2.00,1.99,Normal,,4.0,
Maa Oya (RB 69),Mukunu Oya,Yakawewa,m,4.00,5.00,6.00,0.57,0.57,Normal,,0.0,
"Malwathu Oya
(RB 90)",Malwathu Oya,Tantirimale,m,5.00,6.80,7.80,1.74,1.74,Normal,,0.0,
"Deduru Oya
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,4.18,4.12,Normal,,3.4,
"Maha Oya
(RB 102)",Maha Oya,Badalgama,m,5.00,6.20,9.60,3.75,3.73,Normal,,21.1,
,Maha Oya,Giriulla,m,5.50,6.50,7.50,2.61,2.61,Normal,,24.2,
"Attanagalu Oya
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,4.69,4.68,Minor Flood,Falling,26.5,
