"තත්ත්ව වාර්තාව - ශ්‍රී ලංකාව / epiyik mwpf;if - ,yq;if/ Drought Situation Report- Sri Lanka
දිනය /jpfjp / Date : 08th July 2020 at 1800hrs",,,,,,,,,,,,,,,,,,
"පළාත
khfhzk;
Province",#,"පරිපාලන ප්‍රලද්ශය நிரவ் ாகப் பிரிவு
Administrative purvie",,"ආපදාව mdHj;jk;
Disaster","ආරම්භක දිනය
mdu;j;jk;
Muk;gpj;j jpfjp
Date of
commenced","බලපෑමට ලක්වු
ghjpf;fg;gl;l Affected",,"මිය යෑම්
kuzq;fs;
Deaths","තුවාලවු
පුද්ගලයි
න්
fhaki
le;NjhH
Injured
People","අතුරුදහ
න්වූ
පුද්ගලයි
න්
fhzh
ky;Ngh
NdhH
Missin
g
People","නිවාස්ත්‍ හානි
Nrjkile;j
tPLfs; Houses
Damaged",,"ලවනත් හානි பிற பாதிப்புகள்
Other Damages",,"ආරක්ිත ස්ත්‍රථාන ghJfhg;ghd
miktplk; Safe Location",,,"ලවනත් කරුණු NtW
Fwpg;Gf;fs; Remarks"
,,"දිස්ත්‍රික්කය
மாவடட் ம்
District","ප්‍රා.ලේ. ලකා
gpuNjr nra.gp DS
Division",,,"පවුේ ස්ත්‍ංඛ්‍යාව
FLk;gq;fs;
Families","පුද්ගලයින්
egHfs;
People",,,,"පූර්ණ
හානි
KOik
Fully","අර්ධ
හානි
gFjpa
sT
Partiall
y","කුඩා හා මධය
පරිමාණ වයාපාරික
ස්ත්‍රථාන சிறிய,
நடுத்தர,
நிறுவனங்களி
ன் சேதங்கள்;
Small, Medium,
Enterprises
Damages","ඉතා වැදගත්
යටිතල පහසුකම්
වලට වූ හානි
mbg;gilf;
fl;likg;Gf;fs;
Damages to
critical
Infrastructure","ආරක්ිත
ස්ත්‍රථාන
ස්ත්‍ංඛ්‍යාව
vz;zpf;i
f No.
of Safety
Location
s","පවුේ
ස්ත්‍ංඛ්‍යාව
FLk;gq;f
s;
Families","පුද්ගලයින්
egHfs;
Persons",
"වයඹ පලොත
tlNky;khfhzk;",1,"කුරුනෑගල
FUdhfy;
Kurunegala",Udubeddawa,Drought,2020.06.03,148,646,,,,,,,,,,,Distibuting drinking water
North Western,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,148,646,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,148,646,0,0,0,0,0,0,0,0,0,0,
,2,"මඩකලපුව
kl;lf;fsg;G
Batticaloa",Koralaipattu North,Drought,2020.03.26,1308,4553,,,,,,,,,,,Distibuting drinking water
,,,Koralaipattu West,,,236,831,,,,,,,,,,,
,,,Koralaipattu Central,,2020.04.09,363,1264,,,,,,,,,,,
,,,Koralaipattu South,,2020.04.22,1751,5810,,,,,,,,,,,
,,,Eravur Pattu,,2020.03.26,2240,7190,,,,,,,,,,,
,,,Manmunai West,,,2694,8783,,,,,,,,,,,
,,,Manmunai South West,,2020.04.04,3343,10513,,,,,,,,,,,
,,,Poratheevupattu,,2020.03.26,6001,19971,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,17936,58915,0,0,0,0,0,0,0,0,0,0,
"නැ්ගනහිර පලොත
fpof;F Eastern",3,"ත්‍රීකුණොමලය
jp.kiy
Trincomalee",Verugal,Drought,2020.04.17,3959,14177,,,,,,,,,,,Distibuting drinking water
,,,Kanthale,,2020.04.18,862,2089,,,,,,,,,,,
,,,Thambalagamuwa,,2020.04.15,49,131,,,,,,,,,,,
,,,Kinniya,,2020.04.10,810,2626,,,,,,,,,,,
,,,Muthur,,2020.05.01,501,1706,,,,,,,,,,,
,,,Seruwila,,2020.04.21,72,245,,,,,,,,,,,
,,,Kuchchaveli,,2020.05.20,418,1376,,,,,,,,,,,
,,,Towa and Gravets,,2020.06.15,16,52,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,6687,22402,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,24623,81317,0,0,0,0,0,0,0,0,0,0,
"දකුනු පලොත
njd; khfhzk;",4,"හම්බන්තොට
`k;ghe;Njhl;il
Hambantota",Hambantota,Drought,2020.06.24,50,163,,,,,,,,,,,Distibuting drinking water
Southern,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,50,163,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,50,163,0,0,0,0,0,0,0,0,0,0,
"උතුරුමැද පලොත
tlkj;jpa",5,"්පෝලොනනරුව
nghyd;dWit
Polonnaruwa",Dimbulagala,Drought,2020.06.17,1899,6424,,,,,,,,,,,Distibuting drinking water
,,,Welikanda,,,2444,6731,,,,,,,,,,,
"khfhzk;
North Central",දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,4343,13155,0,0,0,0,0,0,0,0,0,0,
,පළොත් ඵකතුව khfhz $l;Lj;njhif Province Total,,,,,4343,13155,0,0,0,0,0,0,0,0,0,0,
,6,"මුලතිව්
Ky;iyj;jPT
Mulaitivu",Welioya,Drought,2020.04.15,430,1540,,,,,,,,,,,Distibuting drinking water
,,,Puthukudiyiruppu,,2020.05.01,1986,6398,,,,,,,,,,,
,දිස්ත්‍රික් එකතුව khtl;l $l;Lj;njhif District Total,,,,,2416,7938,0,0,0,0,0,0,0,0,0,0,
