பிரதான நகரங்களுக்கான வானிலை முன்னறிவித்தல் தி க தி : 2 0 2 6 - 0 3 - 2 5,,,,,
நகரம்,வவப்பநிலை (0C),,சாரீரப்பதன் (%),,வானிலை
,உச்ச,குலைந்த,உச்ச,குலைந்த,
அனுராதபுரம்,34,23,90,45,பிரதானமாக சீரான வானிலை
மட்டக்களப்பு,31,25,85,65,பிரதானமாக சீரான வானிலை
வகாழும்பு,33,26,90,65,பிரதானமாக சீரான வானிலை
காலி,33,26,90,65,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
யாழ்ப்பாணம்,34,23,90,55,பிரதானமாக சீரான வானிலை
கண்டி,33,19,95,45,பிரதானமாக சீரான வானிலை
நுவவரலியா,22,10,85,35,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
இரத்தினபுரி,36,24,95,50,"பி.ப. 2.00 மணிக்குப் பின்னர் மலை அல்ைது இடியுடன் கூடிய மலை பபய்யும்
சாத்தியம்"
திருககாணமலை,32,25,85,55,பிரதானமாக சீரான வானிலை
மன்னார்,33,23,90,65,பிரதானமாக சீரான வானிலை
