"Western
Nky; khfhzk
බස්ත්‍රනාහිර පලාත
Western
Nky; khfhzk
බස්ත්‍රනාහිර පලාත",3,"කකාළඹ
nfhOk;G
Colombo",Kotte,Wall Collapse,2023.10.04,1,4,,,,,2,,1,,,
,,,Thimbirigasyaya,"Heavy Rain and high
wind",2023.09.29,24,87,,,,,,,,,,
,,,Colombo,Heavy Rain and flood,2023.10.06,45,202,,,,,,,,,,
,,,Kesbewa,Cutting Failure,2023.10.06,1,2,,,,,,,,,,
,,,,,2023.10.07,2,6,,,,1,,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,73,301,0,0,0,1,2,0,1,0,0,0
,4,"කළුතර
fSj;Jiw
Kalutara",Bandaragama,Flood/ Highwind,"2023.09.27/29/30
2023.10.01",35,145,,,,1,19,,,,,
,,,Beruwala,High Wind,"2023.09.29 / 30 ස්ත්‍හ
2023.10.02/03/04/06/
07",210,790,,,,,7,,,,,
,,,Bulathsinhala,"Flood/ Highwind
/Cutting Failture","2023.09.27-30 /
2023.10.01",27,91,,,,,13,,,,,
,,,Mathugama,High Wind,"2023.09.28-30 /
2023.10.06",10,28,,,,1,9,,,,,
,,,Millaniya,Flood,"2023.09.29-30 ස්ත්‍හ
2023.10.02/03",275,1003,,,,,11,,,,,
,,,Agalawattha,High Wind,"2023.09.29 ස්ත්‍හ
2023.10.01",6,23,,,,,6,,,,,
,,,Horana,High Wind,2023.09.29,2,10,,,,,2,,,,,
,,,Walallavita,High Wind,"2023.09.29 ස්ත්‍හ
2023.10.01 /07",7,23,,,,,2,,,,,
,,,Ingiriya,Flood,"2023.09.29-30 ස්ත්‍හ
2023.10.01",16,47,,,,,11,,,,,
,,,Kalutara,High Wind,"2023.09.29-30,
2023.10.03 /06",301,1136,,,,1,14,,,,,
,,,Dodangoda,Flood,"2023.09.29-30,
2023.10.01/02/06",47,170,,,,1,18,,,,,
,,,Madurawela,Flood,"2023.09.30,
2023.10.01",47,161,,,,,36,2,,,,
,,,Panadura,Flood,2023.10.01,99,387,,,,,19,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,1082,4014,0,0,0,4,167,2,0,0,0,0
,5,"ගම්පහ
fk;g`h
Gampaha",Kelaniya,Flood,2023.10.01,,,,,,,2,,,,,
,,,Gampaha,Flood,2023.09.30,,,,,,,14,,,,,
,,,Attanagalla,Tree Fallen,2023.10.03,4,17,,,,,12,,,,,
,,,Dompe,Flood,2023.09.30,,,,,,,2,,,,,
,,,Wattala,Flood,2023.09.30,351,1441,,,,,3,,,1,11,40
,,,Minuwangoda,Rain & Wind,2023.09.30,,,,,,,10,,,,,
,,,Biyagama,Flood,2023.10.01,,,,,,,4,,,,,
,,,Ja-Ela,Flood,2023.10.02,,,,,,,4,,,,,
,,,Mahara,Flood,2023.10.07,1,4,,,,1,12,,,,,
,,,Meerigama,Wind,2023.10.01,2,5,,,,,8,,,,,
,,,Negombo,Flood,2023.10.04,,,,,,,1,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,358,1467,0,0,0,1,72,0,0,1,11,40
,පළාත් ඵකතුව/ khfhz $l;Lj;njhif/Province Total,,,,,1513,5782,0,0,0,6,241,2,1,1,11,40
,6,"මාතර
khj;jiw
Matara",Akuressa,Flood,"2023.09.28 to
2023.10.09",20,72,,,,11,26,,,,,
,,,Thihagoda,,,664,2570,,,,,37,,,,,
,,,Malimbada,,,99,335,,,,,13,,,1,3,11
,,,Devinuwara,,,285,977,,,,,45,,,,,
,,,Weligama,,,158,650,,,,,20,,,1,16,69
,,,Kamburupitiya,,,267,1030,,,,,35,,,,,
,,,Athuraliya,,,65,249,,,,,15,,,,,
,,,Kirinda,,,40,154,,,,,34,,,,,
,,,Pasgoda,,,10,35,,,,,10,,,,,
,,,Hakmana,,,71,273,,,,,71,,,1,16,72
,,,Matara,,,1099,3716,,,,6,97,,,5,180,566
,,,Pitabeddara,,,32,117,,,,,18,,,,,
,,,Mulatiyana,,,19,77,,,,,11,,,1,5,20
,,,Kotapola,,,9,45,,,,,7,,,,,
,,,Dickwella,,,89,327,,,,,89,,,,,
,,,Welipitiya,,,30,107,,,,2,21,,,,,
,දිස්ත්‍රික් එකතුව/khtl;l $l;Lj;njhif/District Total,,,,,2957,10734,0,0,0,19,549,0,0,9,220,738
